12/05-14:47:35.112806 ,129,12,1,Consecutive TCP small segments exceeding threshold,TCP,192.168.1.170,22,192.168.1.151,48400,DC:A6:32:25:D8:43,70:18:8B:82:12:E5,0x76,***AP***,0x4E92886D,0xF271535B,,0x1F5,64,16,60186,104,106496,,,,
12/05-14:47:35.143139 ,129,12,1,Consecutive TCP small segments exceeding threshold,TCP,192.168.1.170,22,192.168.1.151,48400,DC:A6:32:25:D8:43,70:18:8B:82:12:E5,0x66,***AP***,0x4E9288CD,0xF2715387,,0x1F5,64,16,60188,88,90112,,,,
12/05-14:47:35.173511 ,129,12,1,Consecutive TCP small segments exceeding threshold,TCP,192.168.1.170,22,192.168.1.151,48400,DC:A6:32:25:D8:43,70:18:8B:82:12:E5,0x76,***AP***,0x4E928951,0xF27153B3,,0x1F5,64,16,60191,104,106496,,,,
12/05-14:47:35.207063 ,129,12,1,Consecutive TCP small segments exceeding threshold,TCP,192.168.1.170,22,192.168.1.151,48400,DC:A6:32:25:D8:43,70:18:8B:82:12:E5,0x76,***AP***,0x4E9289B1,0xF27153DF,,0x1F5,64,16,60193,104,106496,,,,
12/05-14:47:35.234168 ,129,12,1,Consecutive TCP small segments exceeding threshold,TCP,192.168.1.170,22,192.168.1.151,48400,DC:A6:32:25:D8:43,70:18:8B:82:12:E5,0x76,***AP***,0x4E928A11,0xF271540B,,0x1F5,64,16,60195,104,106496,,,,
12/05-14:47:35.265179 ,129,12,1,Consecutive TCP small segments exceeding threshold,TCP,192.168.1.170,22,192.168.1.151,48400,DC:A6:32:25:D8:43,70:18:8B:82:12:E5,0x76,***AP***,0x4E928A71,0xF2715437,,0x1F5,64,16,60197,104,106496,,,,
12/05-14:47:35.295916 ,129,12,1,Consecutive TCP small segments exceeding threshold,TCP,192.168.1.170,22,192.168.1.151,48400,DC:A6:32:25:D8:43,70:18:8B:82:12:E5,0x76,***AP***,0x4E928AD1,0xF2715463,,0x1F5,64,16,60199,104,106496,,,,
12/05-14:47:35.326316 ,129,12,1,Consecutive TCP small segments exceeding threshold,TCP,192.168.1.170,22,192.168.1.151,48400,DC:A6:32:25:D8:43,70:18:8B:82:12:E5,0x76,***AP***,0x4E928B31,0xF271548F,,0x1F5,64,16,60201,104,106496,,,,
12/05-14:47:35.356742 ,129,12,1,Consecutive TCP small segments exceeding threshold,TCP,192.168.1.170,22,192.168.1.151,48400,DC:A6:32:25:D8:43,70:18:8B:82:12:E5,0x66,***AP***,0x4E928B91,0xF27154BB,,0x1F5,64,16,60203,88,90112,,,,
12/05-14:47:35.387056 ,129,12,1,Consecutive TCP small segments exceeding threshold,TCP,192.168.1.170,22,192.168.1.151,48400,DC:A6:32:25:D8:43,70:18:8B:82:12:E5,0x76,***AP***,0x4E928C15,0xF27154E7,,0x1F5,64,16,60206,104,106496,,,,
